Cambodia-Battambang,"Acdhon Co., Ltd",1
Cambodia-Ratanakiri,BF,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Battambang,Brainy Pharmaceutical,1
Cambodia-Pailin,Brainy Pharmaceutical,1
Cambodia-Pailin,Brainy Pharmaceutical,1
Cambodia-Pailin,Brainy Pharmaceutical,1
Cambodia-Pursat,Brainy Pharmaceutical,1
Cambodia-Pursat,Brainy Pharmaceutical,1
Cambodia-Pursat,Brainy Pharmaceutical,1
Cambodia-Pursat,Brainy Pharmaceutical,1
Cambodia-Pursat,Brainy Pharmaceutical,1
Cambodia-Pursat,Brainy Pharmaceutical,1
Cambodia-Kampong Cham,Bright Future Laboratories,1
Cambodia-Pailin,Bright Future Laboratories,1
Cambodia-Preah Vihear ,Chankit Trading Ltd,1
Cambodia-Stung Treng,Chea Chamnan Laboratory Company Ltd,1
Cambodia-Pailin,Chea Chamnan Laboratory Company Ltd,1
Cambodia-Pursat,Chemephand Medical,1
Cambodia-Battambang,China Southern Dazhong Pharmaceutical,1
Cambodia-Pursat,Cipla Ltd.,1
Cambodia-Banteay Meanchey,EPHAC Laboratories Ltd,1
Cambodia-Oddar Meanchey,Eurolife,1
Cambodia-Battambang,Gateway Pharmaceuticals,1
Cambodia-Battambang,Guilin Pharmaceuticals,1
Cambodia-Battambang,Guilin Pharmaceuticals,1
Cambodia-Battambang,Guilin Pharmaceuticals,1
Cambodia-Pursat,Hovid BHD,1
Cambodia-Battambang,Medical Supply Pharmaceutical Enterprise,1
Cambodia-Pailin,Medical Supply Pharmaceutical Enterprise,1
Cambodia-Oddar Meanchey,Medical Supply Pharmaceutical Enterprise,1
Cambodia-Pursat,Medical Supply Pharmaceutical Enterprise,1
Cambodia-Battambang,Medley Pharmaceuticals,1
Cambodia-Banteay Meanchey,Pond Chemical Thailand,1
Cambodia-Pailin,PPM Laboratory,1
Cambodia-Battambang,Shen Wei Da Zhong Pharma,1
Cambodia-Preah Vihear ,UKP Pharma,1
Cambodia-Banteay Meanchey,Unknown,1
Cambodia-Preah Vihear ,Unknown,1
Cambodia-Preah Vihear ,Unknown,1
Cambodia-Stung Treng,Utopian Company Ltd,1
Cambodia-Banteay Meanchey,VKP Pharmaceutical,1
Cambodia-Kampong Speu,Zee Laboratories,1
Cambodia-Svay Rieng,Zee Laboratories,1
Cambodia-Battambang,Accure Labs Pvt. Ltd,0
Cambodia-Banteay Meanchey,"Acdhon Co., Ltd",0
Cambodia-Banteay Meanchey,"Acdhon Co., Ltd",0
Cambodia-Banteay Meanchey,"Acdhon Co., Ltd",0
Cambodia-Banteay Meanchey,"Acdhon Co., Ltd",0
Cambodia-Banteay Meanchey,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Battambang,"Acdhon Co., Ltd",0
Cambodia-Koh Kong,"Acdhon Co., Ltd",0
Cambodia-Kratie,"Acdhon Co., Ltd",0
Cambodia-Kratie,"Acdhon Co., Ltd",0
Cambodia-Kratie,"Acdhon Co., Ltd",0
Cambodia-Oddar Meanchey,"Acdhon Co., Ltd",0
Cambodia-Pailin,"Acdhon Co., Ltd",0
Cambodia-Pailin,"Acdhon Co., Ltd",0
Cambodia-Preah Vihear ,"Acdhon Co., Ltd",0
Cambodia-Preah Vihear ,"Acdhon Co., Ltd",0
Cambodia-Pursat,"Acdhon Co., Ltd",0
Cambodia-Pursat,"Acdhon Co., Ltd",0
Cambodia-Pursat,"Acdhon Co., Ltd",0
Cambodia-Stung Treng,"Acdhon Co., Ltd",0
Cambodia-Stung Treng,"Acdhon Co., Ltd",0
Cambodia-Stung Treng,"Acdhon Co., Ltd",0
Cambodia-Stung Treng,"Acdhon Co., Ltd",0
Cambodia-Preah Vihear ,"Acdhon Co., Ltd",0
Cambodia-Pursat,"Acdhon Co., Ltd",0
Cambodia-Pursat,Adusnce,0
Cambodia-Svay Rieng,Ajanta,0
Cambodia-Kampong Cham,Alembic Limited,0
Cambodia-Preah Vihear ,Alice Pharmaceuticals,0
Cambodia-Pailin,Alice Pharmaceuticals,0
Cambodia-Banteay Meanchey,AMN Life Science,0
Cambodia-Banteay Meanchey,AMN Life Science,0
Cambodia-Preah Vihear ,AMN Life Science,0
Cambodia-Ratanakiri,AMN Life Science,0
Cambodia-Battambang,AMN Life Science Pvt Ltd,0
Cambodia-Battambang,Amstel,0
Cambodia-Pursat,ANB Laboratories,0
Cambodia-Battambang,ANC,0
Cambodia-Pursat,Artepharm Co. Ltd,0
Cambodia-Banteay Meanchey,"Asian Union Laboratories Co., Ltd",0
Cambodia-Preah Vihear ,"Asian Union Laboratories Co., Ltd",0
